month_year, Gross import VAT , Gross local VAT , VAT refund autonomy and traders , Total net VAT ,Net customs, Net import purchase tax , Total import taxes , Net local sales tax , Gross fuel tax 
20-Aug,"3,574","7,978","-3,033","8,519",225,"1,425","1,650.00",25,"2,136"
20-Sep,"3,454","8,939","-2,720","9,673",236,"1,870","2,106.00",29,"2,022"
20-Oct,"3,545","7,365","-3,279","7,631",237,"1,170","1,407.00",22,"1,566"
20-Nov,"3,636","8,237","-3,122","8,751",256,"1,371","1,627.00",29,"2,022"
20-Dec,"4,751","7,418","-3,285","8,884",378,"3,114","3,492.00",36,"1,922"
21-Jan,"3,910","10,137","-3,338","10,709",271,"1,504","1,775.00",23,"1,715"
21-Feb,"3,943","7,386","-3,525","7,804",274,"1,359","1,633.00",22,"1,596"
21-Mar,"4,595","8,273","-4,165","8,703",310,"1,797","2,107.00",24,"1,880"
21-Apr,"4,362","8,606","-3,089","9,879",295,"1,608","1,903.00",30,"1,950"
21-May,"4,206","9,394","-3,265","10,335",286,"1,817","2,103.00",20,"1,978"
21-Jun,"4,533","7,518","-4,089","7,962",329,"2,100","2,429.00",33,"2,107"
