month_year,Total Gross Income Tax Division, Total refunds from the Income Tax Department ,Total Income Tax Division Net,Income tax for self-employed individuals and companies (advances and deductions),Deductions and the capital market,Real estate taxation,Independents advances,Self-employed tax differences,Independent Cancellations,Companies advances,tax differential companies,Cancellation companies,Property tax,praise tax,Real estate purchase tax,Deduction from salary,Goods and services,Non-profit institution tax,VAT Financial Institutions (Salary),excess expenses,Bonds and dividends,Cancellations Deductions,Companies returns,self employed returns, Capital Gains Tax Refunds , Purchase returns 
2-Apr,"7,062,036","-281,924","6,780,112.00","2,023,100","4,780,197","258,739","327,276","196,281","-4,425.00","1,125,973","381,806","-3,811.00","11,341","75,028","157,374","4,630,122","365,898","498,256","109,340","76,809","11,022","-57,106.00","-166,005.00","-102,533.00","-4,202","-6,727"
2-May,"7,535,421","-464,691","7,070,730.00","2,148,763","5,073,527","313,130","559,178","200,935","-6,814.00","977,385","437,029","-18,950.00","13,551","134,187","148,649","4,175,896","278,689","363,634","109,411","71,258","12,388","-44,560.00","-185,858.00","-264,509.00","-7,370","-3,146"
2-Jun,"6,664,509","-503,438","6,161,071.00","1,834,833","4,560,367","269,309","351,492","209,554","-6,765.00","964,264","318,571","-2,283.00","20,007","90,923","146,866","3,759,323","212,451","383,284","96,973","65,169","14,493","-74,938.00","-185,309.00","-293,635.00","-11,050","-6,943"
2-Jul,"8,334,400","-541,993","7,792,407.00","2,196,368","5,849,770","288,263","594,722","232,706","-6,386.00","1,042,717","336,997","-4,388.00","16,075","96,967","168,400","4,844,040","220,835","609,207","108,597","73,168","14,430","-156,047.00","-178,177.00","-349,115.00","-4,274","-6,739"
2-Aug,"7,077,273","-845,397","6,231,876.00","1,711,561","5,102,757","262,956","321,942","170,560","-5,083.00","949,359","279,429","-4,646.00","14,027","79,570","152,276","4,016,060","286,791","579,869","103,489","67,608","68,329","-141,681.00","-475,248.00","-349,280.00","-7,236","-7,399"
2-Sep,"6,756,781","-233,382","6,523,399.00","1,925,294","4,670,539","160,948","531,245","158,320","-8,634.00","933,113","313,984","-2,734.00","9,445","46,649","99,099","3,868,865","198,242","436,639","108,162","66,494","9,636","-96,019.00","-71,256.00","-149,398.00","-5,153","-5,160"
2-Oct,"5,537,214","-308,246","5,228,968.00","1,565,804","3,879,946","91,463","256,338","126,496","-2,352.00","950,412","236,127","-1,217.00","6,020","30,530","51,384","3,247,696","177,620","375,767","81,990","64,644","27,944","-168,286.00","-153,292.00","-150,736.00",-604,-290
2-Nov,"7,727,613","-379,108","7,348,505.00","1,794,603","5,795,576","137,435","501,904","117,657","-9,164.00","900,876","288,429","-5,099.00","6,588","47,573","77,067","4,647,481","214,201","644,335","87,243","79,399","8,977","-20,595.00","-223,139.00","-155,602.00",-7,-5
2-Dec,"6,523,853","-508,510","6,015,343.00","1,503,191","4,643,090","377,572","252,690","193,797","-7,661.00","658,714","411,310","-5,659.00","48,769","112,531","195,647","3,639,410","242,254","479,711","91,366","76,654","26,621","-17,242.00","-219,826.00","-253,872.00","-8,258","-21,146"
3-Jan,"7,441,435","-1,114,562","6,326,873.00","2,027,748","5,134,721","278,966","5,999","726,777","-4,437.00","40,503","1,266,584","-7,678.00","29,196","100,322","141,096","4,048,891","281,208","448,224","93,135","133,860","16,237","-24,044.00","-799,627.00","-280,702.00","-12,073","-14,989"
